album_id,album_nom,album_date_debut,album_date_fin
1,amet,7/30/2021,11/27/2023
2,in,2/11/2022,9/30/2023
3,turpis,3/4/2022,10/1/2023
4,iaculis,5/22/2021,6/5/2023
5,habitasse,7/19/2021,8/14/2023
6,pede,12/1/2021,1/8/2024
7,mauris,3/15/2022,4/4/2024
8,interdum,10/8/2021,5/7/2023
9,nulla,12/22/2021,8/24/2023
10,cum,4/9/2022,4/25/2024
11,ac,2/2/2022,12/28/2023
12,justo,9/9/2021,3/24/2024
13,vivamus,9/14/2021,10/11/2023
14,felis,4/14/2022,9/20/2023
15,metus,1/19/2022,9/21/2023
16,magna,5/26/2021,4/30/2023
17,sed,7/7/2021,10/20/2023
18,aliquam,5/30/2021,12/6/2023
19,in,11/1/2021,3/16/2024
20,id,3/17/2022,2/13/2024
21,odio,10/20/2021,7/19/2023
22,ultrices,5/15/2021,1/24/2024
23,nisl,9/7/2021,9/9/2023
24,a,8/21/2021,2/24/2024
25,non,1/11/2022,12/20/2023
26,porta,5/20/2021,4/15/2024
27,cum,7/29/2021,2/28/2024
28,lectus,3/15/2022,12/8/2023
29,eget,10/9/2021,4/19/2024
30,vitae,3/21/2022,4/21/2024
