contrat_id,contrat_date_debut,contrat_date_fin,contrat_pourcentage_agence,musicien_id,agent_id
1,3/30/2020,12/15/2022,78,1,5
2,3/28/2020,10/18/2023,51,2,6
3,5/2/2019,12/23/2022,14,3,7
4,12/16/2019,5/26/2021,57,4,8
5,3/11/2019,5/22/2021,44,5,9
6,8/25/2019,9/19/2021,79,6,10
7,5/16/2018,6/19/2021,89,7,11
8,2/4/2020,6/13/2021,48,8,12
9,3/20/2020,9/22/2021,89,9,13
10,7/12/2018,6/28/2022,10,10,14
11,5/3/2019,11/16/2021,26,11,15
12,8/13/2018,5/22/2021,94,12,16
13,1/2/2020,2/23/2024,65,13,17
14,9/15/2018,6/14/2023,0,14,18
15,8/20/2018,6/26/2023,60,15,19
16,2/10/2020,9/22/2023,67,16,20
17,7/14/2018,4/4/2023,57,17,21
18,12/25/2018,5/28/2023,34,18,22
19,4/26/2018,5/28/2023,86,19,23
20,10/6/2019,9/10/2023,43,20,24
21,11/5/2019,2/20/2023,78,21,25
22,8/26/2019,4/21/2023,70,22,26
23,8/11/2019,3/10/2023,51,23,27
24,1/10/2020,6/17/2021,55,24,28
25,1/7/2020,3/13/2022,24,25,29
26,3/28/2020,6/25/2022,32,26,30
27,9/16/2019,8/30/2023,87,27,31
28,10/7/2018,4/6/2022,29,28,32
29,2/19/2020,5/4/2023,40,29,33
30,7/7/2019,5/14/2021,19,30,34
31,5/16/2019,7/9/2021,88,31,35
32,8/4/2019,2/26/2022,21,32,36
33,7/20/2018,3/6/2023,47,33,37
34,2/14/2020,12/31/2021,11,34,38
35,1/16/2019,10/29/2022,94,35,39
36,5/4/2018,9/15/2021,1,36,40
37,7/13/2018,9/17/2023,27,37,41
38,2/9/2020,1/23/2024,24,38,42
39,2/12/2020,1/3/2024,72,39,43
40,6/12/2018,10/5/2022,55,40,44
41,3/17/2019,10/13/2023,25,41,45
42,12/24/2018,5/31/2021,20,42,46
43,5/1/2018,5/12/2021,94,43,47
44,9/18/2019,1/23/2024,1,44,48
45,3/12/2019,9/17/2021,18,45,49
46,9/20/2019,1/20/2023,8,46,50
47,7/3/2019,5/15/2023,21,47,51
48,8/16/2019,12/28/2021,45,48,52
49,11/20/2019,9/4/2021,35,49,53
50,7/21/2019,8/6/2021,70,50,54
51,12/10/2018,5/8/2023,44,51,55
52,12/15/2019,11/28/2021,65,52,56
53,7/28/2018,4/12/2023,91,53,57
54,12/17/2019,12/13/2023,73,54,58
55,12/23/2019,8/23/2022,44,55,59
56,10/31/2018,9/13/2023,33,56,60
57,2/28/2019,11/9/2022,35,57,61
58,5/13/2019,8/12/2023,20,58,62
59,5/17/2018,4/24/2022,79,59,63
60,12/28/2019,2/3/2023,49,60,64
61,3/16/2019,3/27/2023,25,61,65
62,6/27/2019,4/5/2022,75,62,66
63,6/1/2018,8/18/2023,6,63,67
64,7/19/2018,2/6/2022,56,64,68
65,8/1/2018,11/13/2021,93,65,69
66,7/11/2019,9/26/2022,65,66,70
67,8/11/2019,1/5/2022,55,67,71
68,10/17/2018,4/14/2022,98,68,72
69,10/22/2019,7/4/2023,42,69,73
70,1/11/2020,9/3/2022,76,70,74
71,11/18/2019,6/23/2023,55,71,75
72,12/11/2019,5/13/2021,67,72,76
73,9/10/2018,12/6/2022,31,73,77
74,12/7/2019,5/31/2021,24,74,78
75,4/5/2019,6/20/2023,8,75,79
76,8/25/2018,11/11/2021,43,76,80
77,9/1/2018,1/10/2022,46,77,81
78,6/24/2019,6/14/2023,99,78,82
79,12/30/2018,10/26/2021,94,79,83
80,12/11/2019,9/18/2023,96,80,84
81,10/25/2018,1/6/2023,63,81,85
82,1/15/2019,7/2/2023,55,82,86
83,5/14/2019,8/13/2022,10,83,87
84,5/27/2018,11/15/2023,30,84,88
85,1/3/2019,8/28/2023,100,85,89
86,10/29/2018,4/14/2022,97,86,90
87,8/26/2018,3/3/2024,47,87,91
88,8/15/2018,6/18/2021,96,88,92
89,11/3/2019,4/8/2024,34,89,93
90,7/16/2018,4/19/2022,35,90,94
91,9/12/2019,6/21/2022,60,91,95
92,2/10/2019,12/18/2021,50,92,96
93,1/11/2020,3/12/2022,77,93,97
94,1/27/2020,9/21/2023,5,94,98
95,6/11/2018,6/12/2023,54,95,99
96,12/16/2019,6/6/2021,99,96,100
97,9/19/2019,3/23/2023,100,97,101
98,7/3/2019,10/25/2022,3,98,102
99,2/17/2019,12/11/2022,24,99,103
100,9/15/2019,10/25/2022,9,100,104
