contrat_id,contrat_date_debut,contrat_date_fin,contrat_renumeration,contrat_pourcentage_benefice,musicien_id,producteur_id
1,2/25/2019,12/18/2023,55858,34,1,4
2,6/7/2019,6/15/2021,14274,1,2,5
3,2/20/2020,12/11/2023,14189,40,3,6
4,9/10/2018,12/15/2022,70387,0,4,7
5,5/18/2018,9/15/2023,17081,74,5,8
6,7/28/2018,1/13/2023,34201,76,6,9
7,8/7/2018,3/30/2023,90221,84,7,10
8,3/29/2020,3/3/2023,16845,9,8,11
9,5/16/2019,8/7/2021,38035,100,9,12
10,5/8/2019,11/2/2022,79061,79,10,13
11,1/23/2020,4/23/2023,93471,48,11,14
12,4/11/2019,2/27/2023,87846,70,12,15
13,7/12/2019,10/2/2022,44636,31,13,16
14,1/24/2020,2/3/2022,57573,93,14,17
15,12/22/2019,7/28/2021,363,61,15,18
16,6/20/2019,12/10/2022,20296,10,16,19
17,1/8/2020,11/21/2022,10895,68,17,20
18,12/20/2019,2/23/2024,1580,47,18,21
19,1/24/2020,3/11/2022,1861,5,19,22
20,8/20/2019,10/25/2023,62379,54,20,23
21,1/8/2019,11/1/2022,65696,11,21,24
22,10/19/2019,1/2/2024,92247,57,22,25
23,1/17/2020,3/18/2024,4865,45,23,26
24,6/30/2019,4/25/2024,94583,62,24,27
25,4/12/2019,5/18/2022,6321,70,25,28
26,4/15/2020,4/6/2024,64981,92,26,29
27,8/30/2019,4/29/2023,21109,30,27,30
28,6/27/2018,12/18/2021,27453,32,28,31
29,8/9/2018,11/5/2023,7976,19,29,32
30,6/8/2018,6/22/2021,23881,56,30,33
31,3/19/2019,6/16/2022,74483,27,31,34
32,9/12/2019,8/23/2023,55494,74,32,35
33,4/9/2019,8/18/2023,89338,48,33,36
34,11/20/2019,8/23/2023,22864,14,34,37
35,5/27/2019,10/15/2023,79902,73,35,38
36,10/20/2018,7/10/2023,90223,82,36,39
37,11/25/2018,2/3/2022,81593,54,37,40
38,6/16/2018,8/25/2023,15748,70,38,41
39,3/22/2019,7/2/2021,8758,38,39,42
40,2/2/2020,10/20/2023,21094,22,40,43
41,2/6/2019,12/24/2022,73474,49,41,44
42,11/19/2019,5/31/2022,47888,64,42,45
43,5/7/2018,1/10/2024,57830,89,43,46
44,7/9/2019,12/9/2023,858,66,44,47
45,4/8/2020,10/1/2022,27389,44,45,48
46,10/14/2018,1/2/2024,20575,6,46,49
47,9/14/2018,10/30/2021,1898,50,47,50
48,5/15/2018,10/3/2023,66897,96,48,51
49,5/14/2018,8/15/2021,4703,85,49,52
50,11/28/2019,1/17/2024,52427,12,50,53
51,4/28/2019,7/23/2022,3349,28,51,54
52,1/30/2020,11/9/2021,68835,93,52,55
53,9/16/2019,8/5/2023,5943,75,53,56
54,4/30/2019,12/27/2023,73234,55,54,57
55,8/17/2019,8/23/2022,7746,8,55,58
56,4/22/2020,10/20/2022,54002,57,56,59
57,10/17/2019,12/7/2021,71683,2,57,60
58,7/7/2018,8/1/2023,64980,60,58,61
59,11/23/2019,3/15/2023,27321,24,59,62
60,12/7/2018,9/27/2021,49139,7,60,63
61,11/10/2018,8/26/2023,67573,84,61,64
62,3/12/2019,1/28/2024,21153,84,62,65
63,10/5/2018,9/26/2022,22486,37,63,66
64,9/30/2018,1/13/2023,83766,23,64,67
65,6/9/2018,7/15/2022,92053,67,65,68
66,7/2/2019,12/25/2023,94538,67,66,69
67,10/20/2019,11/12/2023,73210,67,67,70
68,5/31/2018,7/21/2023,15944,55,68,71
69,8/14/2019,12/7/2023,80014,40,69,72
70,8/24/2018,1/29/2024,1658,70,70,73
71,7/30/2019,2/4/2022,8093,74,71,74
72,2/6/2019,4/6/2022,3073,16,72,75
73,1/1/2019,2/8/2022,48185,53,73,76
74,5/18/2019,1/24/2022,28304,35,74,77
75,1/9/2020,2/8/2023,66098,83,75,78
76,7/26/2018,8/27/2023,74938,88,76,79
77,4/21/2020,11/20/2022,36727,15,77,80
78,2/12/2019,12/18/2022,72916,100,78,81
79,4/26/2019,8/25/2023,35474,62,79,82
80,6/25/2018,10/10/2023,67368,26,80,83
81,5/5/2019,12/6/2022,75664,57,81,84
82,11/16/2019,5/26/2023,4228,80,82,85
83,7/27/2019,8/10/2023,15393,32,83,86
84,8/14/2018,5/21/2022,22758,35,84,87
85,1/4/2019,4/30/2021,32069,24,85,88
86,8/4/2018,8/9/2021,98405,6,86,89
87,2/15/2019,12/11/2021,5540,24,87,90
88,5/1/2019,4/27/2022,51100,82,88,91
89,3/10/2019,9/28/2023,178,39,89,92
90,9/9/2018,2/14/2022,43005,49,90,93
91,11/10/2019,8/20/2022,57540,40,91,94
92,6/20/2019,11/26/2022,85351,5,92,95
93,10/29/2018,9/10/2023,95471,88,93,96
94,3/2/2019,9/6/2023,80437,29,94,97
95,3/9/2020,1/17/2024,53716,79,95,98
96,5/3/2018,3/11/2023,1798,2,96,99
97,11/11/2018,5/26/2022,62431,21,97,100
98,6/21/2018,2/3/2023,79786,15,98,101
99,4/11/2019,4/4/2022,54891,74,99,102
100,1/15/2019,7/27/2021,89076,17,100,103
