musicien_id,instrument_id
1,5
2,3
3,4
4,5
5,4
6,4
7,4
8,4
9,6
10,6
11,1
12,5
13,3
14,3
15,4
16,3
17,5
18,1
19,6
20,6
21,4
22,1
23,2
24,2
25,5
26,6
27,3
28,5
29,4
30,2
31,2
32,1
33,1
34,6
35,6
36,3
37,6
38,2
39,6
40,1
41,4
42,5
43,6
44,1
45,5
46,1
47,3
48,6
49,1
50,6
51,3
52,3
53,1
54,2
55,2
56,1
57,6
58,2
59,3
60,2
61,6
62,2
63,6
64,1
65,2
66,6
67,4
68,6
69,4
70,6
71,1
72,5
73,4
74,5
75,1
76,5
77,4
78,6
79,1
80,3
81,4
82,6
83,3
84,3
85,3
86,5
87,3
88,6
89,6
90,3
91,6
92,1
93,6
94,3
95,2
96,5
97,4
98,4
99,3
100,1
101,6
102,1
103,6
104,5
105,6
106,3
107,6
108,3
109,4
110,5
111,1
112,1
113,1
114,4
115,1
116,3
117,5
118,2
119,6
120,5
121,5
122,3
123,1
124,1
125,3
126,2
127,3
128,5
129,5
130,4
131,3
132,1
133,1
134,4
135,2
136,5
137,3
138,6
139,4
140,3
141,1
142,2
143,6
144,4
145,4
146,3
147,5
148,4
149,4
150,2
151,4
152,5
153,6
154,6
155,5
156,2
157,6
158,5
159,2
160,4
161,4
162,4
163,4
164,5
165,3
166,6
167,6
168,4
169,6
170,4
171,1
172,4
173,2
174,4
175,2
176,1
177,3
178,5
179,6
180,4
181,1
182,4
183,6
184,1
185,1
186,2
187,4
188,6
189,1
190,3
191,2
192,3
193,5
194,4
195,5
196,2
197,1
198,6
199,2
200,4
201,4
202,3
203,3
204,4
205,3
206,5
207,3
208,4
209,5
210,4
211,5
212,5
213,1
214,4
215,1
216,2
217,4
218,2
219,4
220,4
221,4
222,6
223,5
224,6
225,3
226,2
227,3
228,6
229,6
230,5
231,5
232,4
233,5
234,3
235,5
236,1
237,5
238,2
239,6
240,6
241,5
242,6
243,1
244,3
245,6
246,6
247,1
248,5
249,3
250,2
251,5
252,3
253,6
254,5
255,5
256,6
257,4
258,3
259,3
260,2
261,2
262,2
263,3
264,5
265,1
266,1
267,2
268,2
269,5
270,1
271,6
272,3
273,6
274,3
275,3
276,1
277,1
278,3
279,6
280,5
281,6
282,1
283,1
284,1
285,3
286,4
287,2
288,6
289,2
290,5
291,6
292,1
293,4
294,2
295,4
296,1
297,1
298,3
299,1
300,4
301,3
302,5
303,2
304,2
305,6
306,6
307,3
308,2
309,2
310,3
311,5
312,1
313,2
314,1
315,4
316,6
317,3
318,3
319,3
320,4
321,2
322,3
323,3
324,2
325,6
326,5
327,1
328,5
329,1
330,3
331,6
332,6
333,4
334,5
335,3
336,3
337,3
338,5
339,6
340,3
341,1
342,6
343,5
344,1
345,3
