musicien_id,style_id
1,5
2,4
3,6
4,1
5,6
6,5
7,2
8,5
9,6
10,6
11,5
12,3
13,5
14,6
15,6
16,2
17,5
18,3
19,5
20,3
21,6
22,6
23,2
24,6
25,4
26,1
27,5
28,5
29,1
30,6
31,3
32,2
33,5
34,3
35,1
36,6
37,5
38,1
39,6
40,4
41,5
42,3
43,5
44,4
45,4
46,1
47,5
48,3
49,5
50,6
51,4
52,6
53,5
54,5
55,1
56,4
57,1
58,3
59,3
60,6
61,1
62,1
63,2
64,4
65,3
66,1
67,2
68,3
69,5
70,6
71,3
72,2
73,2
74,2
75,6
76,2
77,5
78,1
79,1
80,6
81,5
82,6
83,3
84,2
85,3
86,6
87,3
88,1
89,3
90,1
91,6
92,2
93,4
94,1
95,6
96,3
97,6
98,1
99,2
100,2
101,1
102,3
103,1
104,6
105,6
106,2
107,5
108,5
109,5
110,1
111,3
112,1
113,4
114,4
115,4
116,6
117,6
118,2
119,6
120,2
121,4
122,6
123,6
124,5
125,3
126,4
127,2
128,2
129,4
130,6
131,5
132,4
133,3
134,3
135,2
136,4
137,5
138,4
139,5
140,1
141,2
142,3
143,5
144,1
145,2
146,4
147,3
148,2
149,1
150,3
151,6
152,5
153,4
154,6
155,5
156,4
157,1
158,5
159,2
160,2
161,5
162,3
163,1
164,6
165,4
166,5
167,3
168,4
169,4
170,3
171,3
172,5
173,6
174,1
175,5
176,3
177,5
178,6
179,6
180,4
181,1
182,6
183,4
184,3
185,3
186,6
187,1
188,5
189,4
190,3
191,6
192,4
193,2
194,3
195,4
196,1
197,5
198,2
199,3
200,6
201,2
202,1
203,2
204,6
205,6
206,5
207,5
208,5
209,5
210,3
211,2
212,2
213,2
214,4
215,5
216,4
217,5
218,5
219,2
220,4
221,5
222,3
223,4
224,5
225,3
226,3
227,4
228,2
229,3
230,6
231,1
232,5
233,5
234,6
235,6
236,2
237,6
238,3
239,2
240,2
241,1
242,2
243,6
244,3
245,1
246,5
247,6
248,1
249,1
250,5
251,3
252,3
253,1
254,5
255,4
256,5
257,1
258,6
259,2
260,2
261,6
262,1
263,2
264,4
265,6
266,2
267,5
268,6
269,4
270,2
271,5
272,4
273,3
274,4
275,1
276,4
277,1
278,5
279,5
280,5
281,2
282,6
283,4
284,2
285,2
286,4
287,1
288,4
289,3
290,6
291,2
292,5
293,4
294,1
295,6
296,5
297,6
298,5
299,3
300,3
301,2
302,1
303,1
304,3
305,5
306,3
307,6
308,1
309,3
310,1
311,5
312,5
313,3
314,2
315,2
316,3
317,3
318,6
319,2
320,1
321,3
322,5
323,6
324,2
325,6
326,3
327,2
328,6
329,3
330,2
331,6
332,3
333,3
334,5
335,5
336,3
337,1
338,5
339,4
340,6
341,3
