paiement_id,contrat_id,paiement_date,paiement_montant_brut,paiement_honoraire_agence
1,1,7/5/2022,614,400
2,2,9/4/2022,958,351
3,3,9/7/2022,824,319
4,4,7/25/2022,1758,112
5,5,1/31/2024,1854,599
6,6,12/4/2023,1641,217
7,7,9/25/2022,710,571
8,8,2/20/2024,1811,542
9,9,7/9/2023,1399,340
10,10,1/11/2024,1360,310
11,11,6/8/2022,941,65
12,12,12/29/2023,1605,520
13,13,12/13/2023,1271,151
14,14,5/28/2023,952,317
15,15,5/5/2023,1623,39
16,16,11/28/2023,1237,48
17,17,3/28/2023,1247,534
18,18,7/25/2023,1647,593
19,19,1/13/2023,812,505
20,20,6/27/2022,1756,400
21,21,12/2/2022,934,301
22,22,5/31/2023,848,278
23,23,1/9/2023,1116,110
24,24,10/18/2023,1721,420
25,25,7/7/2022,1783,403
26,26,3/29/2023,1344,512
27,27,8/9/2022,1374,584
28,28,10/1/2022,1508,306
29,29,1/18/2024,1056,421
30,30,9/5/2022,1396,394
31,31,6/7/2023,1168,342
32,32,1/1/2024,538,322
33,33,8/28/2022,904,438
34,34,3/9/2023,1436,198
35,35,11/30/2023,1910,539
36,36,5/4/2023,551,546
37,37,9/21/2022,628,133
38,38,1/10/2024,1040,335
39,39,2/24/2023,1585,310
40,40,10/4/2023,1527,305
41,41,12/19/2023,1404,586
42,42,11/29/2022,962,116
43,43,11/8/2022,916,443
44,44,9/17/2022,1500,126
45,45,2/19/2024,1661,296
46,46,8/10/2022,1185,586
47,47,10/7/2022,1289,273
48,48,12/17/2023,1109,505
49,49,2/2/2024,676,350
50,50,1/25/2023,1848,159
51,51,2/13/2024,1864,329
52,52,2/13/2023,1418,30
53,53,1/21/2023,1369,302
54,54,4/30/2022,1927,292
55,55,9/25/2023,1876,389
56,56,9/22/2022,1709,503
57,57,9/21/2023,756,369
58,58,6/2/2022,876,189
59,59,2/25/2024,1521,488
60,60,2/6/2023,1593,170
61,61,1/18/2024,1387,539
62,62,11/16/2023,1993,244
63,63,5/3/2022,1279,395
64,64,1/18/2023,997,344
65,65,6/21/2022,1417,600
66,66,2/2/2024,1640,490
67,67,10/8/2023,1469,442
68,68,9/26/2022,1070,104
69,69,1/18/2023,1182,31
70,70,7/29/2022,931,199
71,71,4/13/2023,1435,33
72,72,8/15/2022,1640,407
73,73,4/7/2024,875,170
74,74,2/22/2023,1468,489
75,75,1/25/2023,941,416
76,76,6/27/2022,1803,140
77,77,2/26/2024,1319,172
78,78,12/24/2022,1018,75
79,79,5/25/2023,736,434
80,80,11/24/2023,1789,158
81,81,8/18/2023,1818,55
82,82,6/12/2022,1491,389
83,83,12/19/2023,1185,432
84,84,7/21/2022,1919,227
85,85,12/10/2023,1285,374
86,86,10/15/2023,1077,467
87,87,5/28/2022,1605,516
88,88,9/27/2022,1813,297
89,89,6/7/2022,812,522
90,90,8/10/2022,770,478
91,91,3/14/2023,994,241
92,92,5/23/2022,1988,355
93,93,2/24/2024,1905,591
94,94,12/31/2023,1375,453
95,95,11/21/2023,1460,350
96,96,2/23/2024,1847,452
97,97,3/23/2024,817,207
98,98,2/4/2023,1682,410
99,99,6/20/2023,1798,209
100,100,5/12/2022,881,495
